Wavelength[nm]	Intensity[normalized]	Ret_Intensity[normalized]	Phase[rad]
622.50	0.01194484	0.34994698	-1.15988340
622.95	0.01184245	0.34983619	-1.16967876
623.40	0.01198278	0.34896377	-1.17334465
623.85	0.01210838	0.34720269	-1.17967781
624.30	0.01225297	0.34362519	-1.17989686
624.75	0.01251090	0.33762150	-1.17791565
625.20	0.01286958	0.33138316	-1.17178862
625.65	0.01335418	0.32556103	-1.16152331
626.11	0.01393451	0.32086749	-1.15005688
626.56	0.01449054	0.31920650	-1.14130305
627.01	0.01481522	0.31942939	-1.12550358
627.46	0.01486895	0.32171567	-1.11047835
627.91	0.01508088	0.32624496	-1.09525812
628.36	0.01562297	0.33517804	-1.08082674
628.81	0.01615562	0.34687009	-1.06523832
629.26	0.01656503	0.35979929	-1.05240633
629.71	0.01687239	0.37323924	-1.03745512
630.16	0.01707842	0.38556852	-1.02527463
630.62	0.01739655	0.39570223	-1.01098914
631.07	0.01791124	0.40523314	-0.99851194
631.52	0.01852245	0.41421523	-0.98394381
631.97	0.01905124	0.42270494	-0.97022139
632.42	0.01925142	0.43217811	-0.94563289
632.87	0.01931788	0.44083115	-0.92385706
633.32	0.01962363	0.44822572	-0.90001797
633.77	0.01999009	0.45394770	-0.88193493
634.22	0.02023208	0.45611554	-0.87156785
634.67	0.02065676	0.45514144	-0.87575943
635.12	0.02127853	0.45249172	-0.88182105
635.57	0.02188421	0.44854326	-0.88780629
636.02	0.02251253	0.44355209	-0.89665145
636.47	0.02296557	0.43731484	-0.89957409
636.93	0.02310459	0.43121555	-0.90732297
637.38	0.02293432	0.42590354	-0.91013898
637.83	0.02243310	0.42202326	-0.91388800
638.28	0.02201721	0.42253946	-0.91857649
638.73	0.02205517	0.42624186	-0.92128120
639.18	0.02239852	0.43156366	-0.92689133
639.63	0.02272515	0.43809599	-0.93346011
640.08	0.02281579	0.44549785	-0.94587668
640.53	0.02262966	0.45358255	-0.97195983
640.98	0.02239105	0.46152198	-0.99999706
641.43	0.02229763	0.46879603	-1.02804147
641.88	0.02208025	0.47488339	-1.05316956
642.33	0.02160358	0.47725402	-1.06757499
642.78	0.02123097	0.47687113	-1.06833419
643.23	0.02096010	0.47525062	-1.07010168
643.68	0.02040763	0.47279486	-1.06702415
644.13	0.01963621	0.47005201	-1.06789669
644.58	0.01908184	0.46867281	-1.07077215
645.03	0.01895307	0.46715379	-1.07467993
645.48	0.01899738	0.46542542	-1.07767284
645.93	0.01877187	0.46341775	-1.07389740
646.38	0.01816420	0.46044683	-1.06042977
646.83	0.01758916	0.45662211	-1.04313517
647.28	0.01740094	0.45283193	-1.02397252
647.73	0.01753612	0.44935698	-1.00099446
648.18	0.01795385	0.44647838	-0.96932393
648.63	0.01852269	0.44433174	-0.94068536
649.08	0.01883577	0.44336357	-0.90922508
649.53	0.01883371	0.44392087	-0.88178466
649.98	0.01884754	0.44633128	-0.84860408
650.43	0.01911604	0.45128816	-0.81652488
650.88	0.01965905	0.45981887	-0.77774011
651.33	0.02034734	0.47065565	-0.74495060
651.78	0.02118312	0.48369462	-0.71425561
652.23	0.02222214	0.49882938	-0.67980122
652.68	0.02319465	0.51738231	-0.64354599
653.13	0.02381509	0.53858756	-0.61037815
653.58	0.02410360	0.56048393	-0.57542027
654.02	0.02404946	0.58225890	-0.54551362
654.47	0.02370048	0.60309714	-0.51089791
654.92	0.02357053	0.62066977	-0.47939093
655.37	0.02413185	0.63580340	-0.45490419
655.82	0.02511983	0.64848128	-0.42572419
656.27	0.02609115	0.65839460	-0.40259831
656.72	0.02697072	0.66465642	-0.38064893
657.17	0.02769608	0.66255060	-0.36085776
657.62	0.02813401	0.65843615	-0.35299555
658.07	0.02829970	0.65355812	-0.34241897
658.52	0.02847386	0.64916191	-0.33401589
658.97	0.02906729	0.64846309	-0.33560386
659.42	0.03018486	0.65434586	-0.33156290
659.87	0.03146250	0.66232695	-0.33459331
660.31	0.03264187	0.67203948	-0.34177037
660.76	0.03367723	0.68311160	-0.35016933
661.21	0.03429413	0.69643114	-0.36565446
661.66	0.03433818	0.71125576	-0.38920723
662.11	0.03396089	0.72537188	-0.40911374
662.56	0.03338409	0.73776782	-0.43709756
663.01	0.03274162	0.74743497	-0.46632758
663.46	0.03203875	0.74855801	-0.49778514
663.91	0.03144680	0.74374198	-0.53147499
664.36	0.03114016	0.73625846	-0.56642530
664.80	0.03107808	0.72695889	-0.60264077
665.25	0.03120528	0.71669680	-0.64110266
665.70	0.03133479	0.70859285	-0.67986248
666.15	0.03120362	0.70126181	-0.72380769
666.60	0.03087247	0.69421040	-0.76220071
667.05	0.03056760	0.68755240	-0.79992892
667.50	0.03035291	0.68140347	-0.83406720
667.95	0.03015873	0.67568276	-0.85485446
668.39	0.02979671	0.67072297	-0.86913114
668.84	0.02916417	0.66672113	-0.88178455
669.29	0.02832713	0.66384819	-0.88598320
669.74	0.02746590	0.66227554	-0.89052060
670.19	0.02700867	0.66499758	-0.90419023
670.64	0.02712062	0.66884553	-0.91039491
671.09	0.02733138	0.67304214	-0.91402182
